Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified,Possible Mitigation(s),SDL Phase
19,An adversary can gain access to sensitive data stored in Web App's config files,Tampering,Fase0,Credenciales (Email + Password) [HTTPS],High,Not Started,,"An adversary can gain access to the config files. and if sensitive data is stored in it, it would be compromised.",,Generated,"Encrypt sections of Web App's configuration files that contain sensitive data. Refer: <a href=""https://aka.ms/tmtdata#encrypt-data"">https://aka.ms/tmtdata#encrypt-data</a>",Implementation
18,An adversary can gain access to sensitive data by performing SQL injection through Web App,Tampering,Fase0,Credenciales (Email + Password) [HTTPS],High,Not Started,,"SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. The primary form of SQL injection consists of direct insertion of code into user-input variables that are concatenated with SQL commands and executed. A less direct attack injects malicious code into strings that are destined for storage in a table or as metadata. When the stored strings are subsequently concatenated into a dynamic SQL command, the malicious code is executed. ",,Generated,"Ensure that type-safe parameters are used in Web Application for data access. Refer: <a href=""https://aka.ms/tmtinputval#typesafe"">https://aka.ms/tmtinputval#typesafe</a>",Implementation
17,An adversary may spoof Usuario Final (Navegador) and gain access to Web Application,Spoofing,Fase0,Credenciales (Email + Password) [HTTPS],High,Not Started,,"If proper authentication is not in place, an adversary can spoof a source process or external entity and gain unauthorized access to the Web Application",,Generated,"Consider using a standard authentication mechanism to authenticate to Web Application. Refer: <a href=""https://aka.ms/tmtauthn#standard-authn-web-app"">https://aka.ms/tmtauthn#standard-authn-web-app</a>",Design
16,An adversary can create a fake website and launch phishing attacks,Spoofing,Fase0,Credenciales (Email + Password) [HTTPS],High,Not Started,,"Phishing is attempted to obtain sensitive information such as usernames, passwords, and credit card details (and sometimes, indirectly, money), often for malicious reasons, by masquerading as a Web Server which is a trustworthy entity in electronic communication",,Generated,"Verify X.509 certificates used to authenticate SSL, TLS, and DTLS connections. Refer: <a href=""https://aka.ms/tmtcommsec#x509-ssltls"">https://aka.ms/tmtcommsec#x509-ssltls</a>  Ensure that authenticated ASP.NET pages incorporate UI Redressing or clickjacking defences. Refer: <a href=""https://aka.ms/tmtconfigmgmt#ui-defenses"">https://aka.ms/tmtconfigmgmt#ui-defenses</a>  Validate all redirects within the application are closed or done safely. Refer: <a href=""https://aka.ms/tmtinputval#redirect-safe"">https://aka.ms/tmtinputval#redirect-safe</a>",Implementation
15,An adversary can steal sensitive data like user credentials,Spoofing,Fase0,Credenciales (Email + Password) [HTTPS],High,Not Started,,"Attackers can exploit weaknesses in system to steal user credentials. Downstream and upstream components are often accessed by using credentials stored in configuration stores. Attackers may steal the upstream or downstream component credentials. Attackers may steal credentials if, Credentials are stored and sent in clear text, Weak input validation coupled with dynamic sql queries, Password retrieval mechanism are poor,  ",,Generated,"Explicitly disable the autocomplete HTML attribute in sensitive forms and inputs. Refer: <a href=""https://aka.ms/tmtdata#autocomplete-input"">https://aka.ms/tmtdata#autocomplete-input</a>  Perform input validation and filtering on all string type Model properties. Refer: <a href=""https://aka.ms/tmtinputval#typemodel"">https://aka.ms/tmtinputval#typemodel</a>  Validate all redirects within the application are closed or done safely. Refer: <a href=""https://aka.ms/tmtinputval#redirect-safe"">https://aka.ms/tmtinputval#redirect-safe</a>  Enable step up or adaptive authentication. Refer: <a href=""https://aka.ms/tmtauthn#step-up-adaptive-authn"">https://aka.ms/tmtauthn#step-up-adaptive-authn</a>  Implement forgot password functionalities securely. Refer: <a href=""https://aka.ms/tmtauthn#forgot-pword-fxn"">https://aka.ms/tmtauthn#forgot-pword-fxn</a>  Ensure that password and account policy are implemented. Refer: <a href=""https://aka.ms/tmtauthn#pword-account-policy"">https://aka.ms/tmtauthn#pword-account-policy</a>  Implement input validation on all string type parameters accepted by Controller methods. Refer: <a href=""https://aka.ms/tmtinputval#string-method"">https://aka.ms/tmtinputval#string-method</a>",Implementation
14,An adversary can spoof the target web application due to insecure TLS certificate configuration,Spoofing,Fase0,Credenciales (Email + Password) [HTTPS],High,Not Started,,Ensure that TLS certificate parameters are configured with correct values,,Generated,"Verify X.509 certificates used to authenticate SSL, TLS, and DTLS connections. Refer: <a href=""https://aka.ms/tmtcommsec#x509-ssltls"">https://aka.ms/tmtcommsec#x509-ssltls</a>",Implementation
13,Attacker can deny the malicious act and remove the attack foot prints leading to repudiation issues,Repudiation,Fase0,Credenciales (Email + Password) [HTTPS],Medium,Not Started,,"Proper logging of all security events and user actions builds traceability in a system and denies any possible repudiation issues. In the absence of proper auditing and logging controls, it would become impossible to implement any accountability in a system",,Generated,"Ensure that auditing and logging is enforced on the application. Refer: <a href=""https://aka.ms/tmtauditlog#auditing"">https://aka.ms/tmtauditlog#auditing</a>  Ensure that log rotation and separation are in place. Refer: <a href=""https://aka.ms/tmtauditlog#log-rotation"">https://aka.ms/tmtauditlog#log-rotation</a>  Ensure that Audit and Log Files have Restricted Access. Refer: <a href=""https://aka.ms/tmtauditlog#log-restricted-access"">https://aka.ms/tmtauditlog#log-restricted-access</a>  Ensure that User Management Events are Logged. Refer: <a href=""https://aka.ms/tmtauditlog#user-management"">https://aka.ms/tmtauditlog#user-management</a>",Implementation
12,An adversary can gain access to sensitive information through error messages,Information Disclosure,Fase0,Credenciales (Email + Password) [HTTPS],High,Not Started,,"An adversary can gain access to sensitive data such as the following, through verbose error messages - Server names  - Connection strings  - Usernames  - Passwords  - SQL procedures  - Details of dynamic SQL failures  - Stack trace and lines of code  - Variables stored in memory  - Drive and folder locations  - Application install points  - Host configuration settings  - Other internal application details ",,Generated,"Do not expose security details in error messages. Refer: <a href=""https://aka.ms/tmtxmgmt#messages"">https://aka.ms/tmtxmgmt#messages</a>  Implement Default error handling page. Refer: <a href=""https://aka.ms/tmtxmgmt#default"">https://aka.ms/tmtxmgmt#default</a>  Set Deployment Method to Retail in IIS. Refer: <a href=""https://aka.ms/tmtxmgmt#deployment"">https://aka.ms/tmtxmgmt#deployment</a>  Exceptions should fail safely. Refer: <a href=""https://aka.ms/tmtxmgmt#fail"">https://aka.ms/tmtxmgmt#fail</a>  ASP.NET applications must disable tracing and debugging prior to deployment. Refer: <a href=""https://aka.ms/tmtconfigmgmt#trace-deploy"">https://aka.ms/tmtconfigmgmt#trace-deploy</a>  Implement controls to prevent username enumeration. Refer: <a href=""https://aka.ms/tmtauthn#controls-username-enum"">https://aka.ms/tmtauthn#controls-username-enum</a>",Implementation
11,An adversary may gain access to sensitive data from log files,Information Disclosure,Fase0,Credenciales (Email + Password) [HTTPS],High,Not Started,,An adversary may gain access to sensitive data from log files,,Generated,"Ensure that the application does not log sensitive user data. Refer: <a href=""https://aka.ms/tmtauditlog#log-sensitive-data"">https://aka.ms/tmtauditlog#log-sensitive-data</a>  Ensure that Audit and Log Files have Restricted Access. Refer: <a href=""https://aka.ms/tmtauditlog#log-restricted-access"">https://aka.ms/tmtauditlog#log-restricted-access</a>",Implementation
10,An adversary can reverse weakly encrypted or hashed content,Information Disclosure,Fase0,Credenciales (Email + Password) [HTTPS],High,Not Started,,An adversary can reverse weakly encrypted or hashed content,,Generated,"Do not expose security details in error messages. Refer: <a href=""https://aka.ms/tmtxmgmt#messages"">https://aka.ms/tmtxmgmt#messages</a> Implement Default error handling page. Refer: <a href=""https://aka.ms/tmtxmgmt#default"">https://aka.ms/tmtxmgmt#default</a>  Set Deployment Method to Retail in IIS. Refer: <a href=""https://aka.ms/tmtxmgmt#deployment"">https://aka.ms/tmtxmgmt#deployment</a>  Use only approved symmetric block ciphers and key lengths. Refer: <a href=""https://aka.ms/tmtcrypto#cipher-length"">https://aka.ms/tmtcrypto#cipher-length</a>  Use approved block cipher modes and initialization vectors for symmetric ciphers. Refer: <a href=""https://aka.ms/tmtcrypto#vector-ciphers"">https://aka.ms/tmtcrypto#vector-ciphers</a>  Use approved asymmetric algorithms, key lengths, and padding. Refer: <a href=""https://aka.ms/tmtcrypto#padding"">https://aka.ms/tmtcrypto#padding</a>  Use approved random number generators. Refer: <a href=""https://aka.ms/tmtcrypto#numgen"">https://aka.ms/tmtcrypto#numgen</a>  Do not use symmetric stream ciphers. Refer: <a href=""https://aka.ms/tmtcrypto#stream-ciphers"">https://aka.ms/tmtcrypto#stream-ciphers</a>  Use approved MAC/HMAC/keyed hash algorithms. Refer: <a href=""https://aka.ms/tmtcrypto#mac-hash"">https://aka.ms/tmtcrypto#mac-hash</a>  Use only approved cryptographic hash functions. Refer: <a href=""https://aka.ms/tmtcrypto#hash-functions"">https://aka.ms/tmtcrypto#hash-functions</a>  Verify X.509 certificates used to authenticate SSL, TLS, and DTLS connections. Refer: <a href=""https://aka.ms/tmtcommsec#x509-ssltls"">https://aka.ms/tmtcommsec#x509-ssltls</a>",Implementation
